Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159471225911136&slink=5p50ju&f1=1,30,1,5,"град София, Овча купел",0,1-СТАЕН,Тухла,34000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159135634321496&slink=5p50ju&f1=1,30,1,3,"град София, гр. Бухово",0,1-СТАЕН,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157322200224079&slink=5p50ju&f1=1,30,5,5,"град София, Лозенец",1975,1-СТАЕН,Тухла,45900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158411820361908&slink=5p50ju&f1=1,30,5,5,"град София, Лозенец",1960,1-СТАЕН,Тухла,45900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159447787350615&slink=5p50ju&f1=1,30,1,5,"град София, Лозенец",1993,1-СТАЕН,Тухла,46500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159482213178853&slink=5p50ju&f1=1,30,5,8,"град София, Люлин 5",0,1-СТАЕН,Панел,24999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159229073666520&slink=5p50ju&f1=1,30,5,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,29999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159221973987735&slink=5p50ju&f1=1,30,5,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,29999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158323831855753&slink=5p50ju&f1=1,30,5,14,"град София, Люлин 5",1986,1-СТАЕН,ЕПК,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158868002086892&slink=5p50ju&f1=1,30,1,3,"град София, м-т Камбаните",2021,1-СТАЕН,Тухла,35965
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159534348700176&slink=5p50ju&f1=1,30,1,9,"град София, Манастирски ливади",2019,1-СТАЕН,Тухла,38500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158980099928022&slink=5p50ju&f1=1,30,1,6,"град София, Младост 4",2000,1-СТАЕН,Тухла,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158382763739760&slink=5p50ju&f1=1,30,5,5,"град София, Център",1960,1-СТАЕН,Тухла,79000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157138198622908&slink=5p50ju&f1=1,30,1,3,"град София, Център",1930,1-СТАЕН,Тухла,94800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159533139324917&slink=5p50ju&f1=1,30,1,9,"град София, Манастирски ливади",2019,"АТЕЛИЕ, ТАВАН",Тухла,42500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159170665404543&slink=5p50ju&f1=1,30,7,7,"град София, Център",1950,"АТЕЛИЕ, ТАВАН",Тухла,75900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h157908298788767&slink=5p50ju&f1=1,30,7,7,"град София, Център",1950,"АТЕЛИЕ, ТАВАН",Тухла,75900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159370261216768&slink=5p50k8&f1=1,31,3,4,"град София, Студентски град",2004,1-СТАЕН,Тухла,44800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159464437083175&slink=5p50k8&f1=1,31,2,5,"град София, Младост 2",2015,1-СТАЕН,Тухла,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159438359279568&slink=5p50k8&f1=1,31,16,16,"град София, Надежда 4",1987,1-СТАЕН,ЕПК,36000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154954945818362&slink=5p50k8&f1=1,31,1,1,"град София, Редута",0,1-СТАЕН,Тухла,37000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158313708386304&slink=5p50k8&f1=1,31,11,11,"град София, Студентски град",2022,1-СТАЕН,Тухла,34765
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159169165332504&slink=5p50k8&f1=1,31,1,4,"град София, Студентски град",2020,1-СТАЕН,Тухла,37900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159524963885560&slink=5p50k8&f1=1,31,3,6,"град София, Студентски град",2013,1-СТАЕН,Тухла,48500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157063277598575&slink=5p50k8&f1=1,31,1,7,"град София, Център",2008,1-СТАЕН,Тухла,42500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156985749137095&slink=5p50k8&f1=1,31,1,7,"град София, Център",2008,"АТЕЛИЕ, ТАВАН",Тухла,42500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159525495547769&slink=5p50kf&f1=1,32,1,1,"град София, Люлин - център",1990,1-СТАЕН,Панел,31000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159531865182583&slink=5p50kf&f1=1,32,6,6,"град София, Студентски град",2015,1-СТАЕН,Тухла,49999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158945301111819&slink=5p50kf&f1=1,32,5,8,"град София, Горубляне",2017,1-СТАЕН,Тухла,39200
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159524732705693&slink=5p50kf&f1=1,32,1,6,"град София, Люлин - център",2017,1-СТАЕН,Тухла,31000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157053947749305&slink=5p50kf&f1=1,32,1,8,"град София, Люлин 6",0,1-СТАЕН,Панел,35990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159075543230603&slink=5p50kf&f1=1,32,1,6,"град София, Овча купел",2022,1-СТАЕН,Тухла,31850
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159169162743426&slink=5p50kf&f1=1,32,2,4,"град София, Студентски град",2020,1-СТАЕН,Тухла,39500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159497979848546&slink=5p50kf&f1=1,32,2,4,"град София, Студентски град",2006,1-СТАЕН,Тухла,44800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156342898306593&slink=5p50kf&f1=1,32,5,5,"град София, Център",1946,1-СТАЕН,Тухла,55500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159524768866028&slink=5p50kf&f1=1,32,1,6,"град София, Люлин - център",2017,"АТЕЛИЕ, ТАВАН",Тухла,31000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158084682677987&slink=5p50kl&f1=1,33,1,5,"град София, Малинова долина",2022,1-СТАЕН,Тухла,26480
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156276083681806&slink=5p50kl&f1=1,33,2,5,"град София, Малинова долина",0,1-СТАЕН,Тухла,36300
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159411888022517&slink=5p50kl&f1=1,33,1,4,"град София, Манастирски ливади",2009,1-СТАЕН,Тухла,39500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157840478221556&slink=5p50kl&f1=1,33,1,4,"град София, Център",1950,1-СТАЕН,Тухла,36400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159524124612778&slink=5p50kl&f1=1,33,1,4,"град София, Люлин 5",2019,"АТЕЛИЕ, ТАВАН",Тухла,31000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159532222826795&slink=5p50kl&f1=1,33,1,5,"град София, Люлин - център",2017,1-СТАЕН,Тухла,31000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159291448057928&slink=5p50kl&f1=1,33,2,14,"град София, Люлин 5",0,1-СТАЕН,ЕПК,39000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156993810675431&slink=5p50kl&f1=1,33,1,8,"град София, Люлин 6",1980,1-СТАЕН,Панел,35999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158377340694501&slink=5p50kl&f1=1,33,6,6,"град София, Оборище",0,1-СТАЕН,Тухла,38000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158988585896108&slink=5p50kl&f1=1,33,4,6,"град София, Разсадника",2020,1-СТАЕН,Тухла,36542
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158514811814056&slink=5p50kl&f1=1,33,1,4,"град София, Симеоново",2000,1-СТАЕН,Тухла,49000
