Id,Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
5528,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165216768440773&slink=96idzo&f1=6,68,0,1,5,"град София, Младост 4",2010,2-СТАЕН,Тухла,144000
5529,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166799323618964&slink=96idzo&f1=6,68,0,6,8,"град София, Надежда 1",1986,2-СТАЕН,Панел,80000
5530,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167818531886856&slink=96idzo&f1=6,68,0,8,8,"град София, Надежда 1",1980,2-СТАЕН,Панел,99950
5531,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167929873563760&slink=96idzo&f1=6,68,0,8,8,"град София, Надежда 1",1988,2-СТАЕН,Панел,122000
5532,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167966046641627&slink=96idzo&f1=6,68,0,8,8,"град София, Надежда 1",1980,2-СТАЕН,Панел,122000
5533,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166177488251421&slink=96idzo&f1=6,68,0,4,6,"град София, Надежда 2",2023,2-СТАЕН,Тухла,92000
5534,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167449154825392&slink=96idzo&f1=6,68,0,2,6,"град София, Надежда 2",2023,2-СТАЕН,Тухла,102199
5535,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167580147436513&slink=96idzo&f1=6,68,0,2,6,"град София, Надежда 2",2023,2-СТАЕН,Тухла,102199
5536,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167722501811090&slink=96idzo&f1=6,68,0,2,6,"град София, Надежда 2",2022,2-СТАЕН,Тухла,102200
5537,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166962419528419&slink=96idzo&f1=6,68,0,1,8,"град София, Надежда 2",1989,2-СТАЕН,Панел,107500
5538,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166679037860171&slink=96idzo&f1=6,68,0,7,14,"град София, Надежда 2",1976,2-СТАЕН,ЕПК,110000
5539,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167050765117021&slink=96idzo&f1=6,68,0,6,6,"град София, Надежда 3",2024,2-СТАЕН,Тухла,110200
