Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
40,1,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,58859
40,3,6,"град София, Малинова долина",2026,1-СТАЕН,Тухла,59644
40,4,7,"град София, Малинова долина",2025,1-СТАЕН,Тухла,59797
40,3,7,"град София, Малинова долина",2025,1-СТАЕН,Тухла,59797
40,2,7,"град София, Малинова долина",2025,1-СТАЕН,Тухла,59797
40,2,5,"град София, Манастирски ливади",2008,1-СТАЕН,Тухла,87000
40,3,5,"град София, Манастирски ливади",2010,1-СТАЕН,Тухла,127500
40,9,12,"град София, Младост 3",1980,1-СТАЕН,ЕПК,80000
40,9,12,"град София, Младост 3",1980,1-СТАЕН,ЕПК,80000
40,8,9,"град София, Овча купел",2022,1-СТАЕН,Тухла,64000
40,9,10,"град София, Овча купел 1",2022,1-СТАЕН,Тухла,71900
40,1,8,"град София, Редута",2013,1-СТАЕН,Тухла,62500
40,4,5,"град София, Редута",2023,1-СТАЕН,Тухла,70000
40,3,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,80000
40,3,7,"град София, Студентски град",2021,1-СТАЕН,Тухла,97000
40,1,6,"град София, Сухата река",2023,1-СТАЕН,Тухла,65000
40,1,8,"град София, Сухата река",2023,1-СТАЕН,Тухла,76694
40,2,8,"град София, Сухата река",2023,1-СТАЕН,Тухла,76700
40,1,4,"град София, Сухата река",2008,1-СТАЕН,Тухла,78800
40,6,7,"град София, Център",1970,1-СТАЕН,Тухла,90000
40,7,16,"град София, Банишора",1980,2-СТАЕН,ЕПК,64999
40,10,18,"град София, Банишора",1983,2-СТАЕН,ЕПК,69900
40,8,18,"град София, Банишора",2019,2-СТАЕН,ЕПК,75000
40,8,15,"град София, Банишора",1985,2-СТАЕН,ЕПК,76000
40,5,5,"град София, Борово",1965,2-СТАЕН,Тухла,79000
40,1,6,"град София, Дианабад",2017,2-СТАЕН,Тухла,109890
40,1,6,"град София, Изгрев",2016,2-СТАЕН,Тухла,105000
40,1,5,"град София, Кръстова вада",2024,2-СТАЕН,Тухла,65636
40,1,4,"град София, Кръстова вада",2023,2-СТАЕН,Тухла,65637
40,1,5,"град София, Кръстова вада",2024,2-СТАЕН,Тухла,70610
40,1,5,"град София, Кръстова вада",2024,2-СТАЕН,Тухла,70610
40,1,3,"град София, Кръстова вада",2024,2-СТАЕН,Тухла,70610
40,3,5,"град София, Манастирски ливади",2010,2-СТАЕН,Тухла,127500
40,3,5,"град София, Манастирски ливади",2010,2-СТАЕН,Тухла,127500
40,3,5,"град София, Манастирски ливади",2010,2-СТАЕН,Тухла,127500
40,2,5,"град София, Манастирски ливади",2010,2-СТАЕН,Тухла,132000
40,1,5,"град София, Младост 4",1990,2-СТАЕН,Тухла,94500
40,8,8,"град София, Сухата река",1975,2-СТАЕН,ПК,97500
