DocumentDate,Count
2023-02-21,8489
2023-02-22,7833
2023-02-23,8044
2023-02-24,7815
2023-02-25,580
2023-02-26,405
2023-02-27,8858
2023-02-28,8693
2023-03-01,8217
2023-03-02,8815
2023-03-03,392
2023-03-04,441
2023-03-05,271
2023-03-06,8560
2023-03-07,8402
2023-03-08,6678
2023-03-09,8215
2023-03-10,7184
2023-03-11,315
2023-03-12,267
2023-03-13,8500
2023-03-14,8114
2023-03-15,8254
2023-03-16,8292
2023-03-17,7430
2023-03-18,418
2023-03-19,259
2023-03-20,8876
2023-03-21,8619
2023-03-22,8241
2023-03-23,8060
2023-03-24,6681
2023-03-25,449
2023-03-26,247
2023-03-27,5857
2023-03-28,5876
2023-03-29,5976
2023-03-30,5444
2023-03-31,4609
2023-04-01,298
2023-04-02,209
2023-04-03,5089
2023-04-04,5458
2023-04-05,5246
2023-04-06,5430
2023-04-07,4850
2023-04-08,300
2023-04-09,169
2023-04-10,4182
2023-04-11,4387
2023-04-12,4175
2023-04-13,3644
2023-04-14,131
2023-04-15,76
2023-04-16,50
2023-04-17,89
2023-04-18,3446
2023-04-19,3499
2023-04-20,3316
2023-04-21,2478
