Id,Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
110,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155533229420658&slink=4orklq&f1=1,33,0,0,"град София, Център",0,1-СТАЕН,Тухла,0
111,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154699253772339&slink=4orklq&f1=1,33,0,0,"град София, Център",0,1-СТАЕН,Тухла,41875
112,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156148551388676&slink=4orklq&f1=1,33,1,3,"град София, Център",1923,1-СТАЕН,Тухла,39900
113,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154764209403077&slink=4orklq&f1=1,33,0,0,"град София, Център",0,1-СТАЕН,Тухла,39849
114,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153969318795873&slink=4orklq&f1=1,33,1,7,"град София, Студентски град",2017,1-СТАЕН,Тухла,76000
115,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155852722374124&slink=4orklq&f1=1,33,7,9,"град София, Студентски град",2019,1-СТАЕН,Тухла,41500
116,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156015603730399&slink=4orklq&f1=1,33,2,5,"град София, Студентски град",2020,1-СТАЕН,Тухла,37030
117,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h154047371650209&slink=4orklq&f1=1,33,4,4,"град София, Бенковски",2016,"АТЕЛИЕ, ТАВАН",Тухла,23000
118,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156015563882736&slink=4orklq&f1=1,33,1,5,"град София, Студентски град",2020,1-СТАЕН,Тухла,30999
119,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a151275104249954&slink=4orklq&f1=1,33,0,0,"град София, Подуяне",2019,1-СТАЕН,Тухла,32500
120,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155289601416151&slink=4orklq&f1=1,33,1,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,30150
121,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155289511808867&slink=4orklq&f1=1,33,1,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,29990
122,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156168382236628&slink=4orklq&f1=1,33,0,0,"град София, Малинова долина",0,1-СТАЕН,Тухла,50000
123,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156223028543725&slink=4orklq&f1=1,33,2,4,"град София, Малинова долина",2021,1-СТАЕН,Тухла,29812
124,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156206899534598&slink=4orklq&f1=1,33,3,3,"град София, Лозенец",1968,1-СТАЕН,Тухла,29900
125,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155601362257823&slink=4orklq&f1=1,33,0,0,"град София, Кръстова вада",0,1-СТАЕН,Тухла,37000
126,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156075239519952&slink=4orklq&f1=1,33,0,0,"град София, Изток",0,1-СТАЕН,Тухла,42000
127,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154401219593201&slink=4orklq&f1=1,33,5,5,"град София, Западен парк",0,1-СТАЕН,Тухла,38000
128,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155678186285712&slink=4orklq&f1=1,33,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,41500
129,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156098801679894&slink=4orklq&f1=1,33,0,0,"град София, Симеоново",0,1-СТАЕН,Тухла,40000
130,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h156239509416074&slink=4orklq&f1=1,33,3,3,"град София, Лозенец",1968,"АТЕЛИЕ, ТАВАН",Тухла,30000
131,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154902274134514&slink=4orklw&f1=1,34,1,9,"град София, Овча купел",2021,1-СТАЕН,Тухла,29990
132,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155677907466120&slink=4orklw&f1=1,34,0,0,"град София, Витоша",2017,1-СТАЕН,Тухла,30000
133,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155541730194850&slink=4orklw&f1=1,34,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
134,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156041578019853&slink=4orklw&f1=1,34,7,9,"град София, Дървеница",2019,1-СТАЕН,Тухла,40000
135,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155481495853179&slink=4orklw&f1=1,34,7,9,"град София, Дървеница",2018,1-СТАЕН,Тухла,62000
136,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155350737700257&slink=4orklw&f1=1,34,0,0,"град София, Люлин 1",2017,1-СТАЕН,Тухла,23500
137,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155834322402961&slink=4orklw&f1=1,34,5,8,"град София, Люлин 5",1982,1-СТАЕН,Панел,23000
138,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156144390428238&slink=4orklw&f1=1,34,5,10,"град София, Надежда 2",0,1-СТАЕН,Тухла,25500
139,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156155334758332&slink=4orklw&f1=1,34,5,8,"град София, Надежда 2",2019,1-СТАЕН,Тухла,42500
140,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153553500433132&slink=4orklw&f1=1,34,1,5,"град София, Студентски град",2008,1-СТАЕН,Тухла,42000
141,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156217005106455&slink=4orklw&f1=1,34,2,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,46500
142,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155989615899225&slink=4orklw&f1=1,34,3,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,60000
143,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155983807087152&slink=4orklw&f1=1,34,0,0,"град София, Студентски град",0,1-СТАЕН,Тухла,0
144,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156236923336638&slink=4orklw&f1=1,34,0,0,"град София, Сухата река",0,1-СТАЕН,ЕПК,52000
145,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156114972488402&slink=4orklw&f1=1,34,10,14,"град София, Сухата река",1985,1-СТАЕН,ЕПК,52500
146,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156103722188882&slink=4orklw&f1=1,34,10,14,"град София, Сухата река",0,1-СТАЕН,ЕПК,52500
147,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156205302554347&slink=4orkm0&f1=1,35,1,6,"град София, Студентски град",2010,1-СТАЕН,Тухла,32999
148,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b156199490212993&slink=4orkm0&f1=1,35,0,0,"град София, Люлин 8",0,2-СТАЕН,Тухла,0
149,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b153260202733444&slink=4orkm0&f1=1,35,2,7,"град София, Дружба 1",0,2-СТАЕН,Тухла,63500
150,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154727647332641&slink=4orkm0&f1=1,35,0,0,"град София, Център",0,1-СТАЕН,Тухла,92000
151,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155731207398580&slink=4orkm0&f1=1,35,2,6,"град София, Център",2012,1-СТАЕН,Тухла,78000
152,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a123997592337570&slink=4orkm0&f1=1,35,0,0,"град София, Център",0,1-СТАЕН,Тухла,36000
153,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156171007623595&slink=4orkm0&f1=1,35,1,8,"град София, Овча купел 1",2003,1-СТАЕН,Тухла,33999
154,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155788272601566&slink=4orkm0&f1=1,35,0,0,"град София, Обеля 1",0,1-СТАЕН,Тухла,27000
155,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b152216150129155&slink=4orkm0&f1=1,35,0,0,"град София, Малинова долина",0,2-СТАЕН,Тухла,0
156,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156138982071465&slink=4orkm0&f1=1,35,6,10,"град София, Надежда 1",0,1-СТАЕН,Тухла,26500
