Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
40,2,4,"град София, Захарна фабрика",1970,2-СТАЕН,Тухла,39900
40,2,4,"град София, Захарна фабрика",1970,2-СТАЕН,Тухла,39900
40,2,4,"град София, Захарна фабрика",1970,2-СТАЕН,Тухла,39900
40,6,14,"град София, Дървеница",2018,2-СТАЕН,ЕПК,43799
40,1,6,"град София, Дианабад",2010,2-СТАЕН,Тухла,60000
40,2,4,"град София, Ботунец",1973,2-СТАЕН,Тухла,15200
40,5,7,"град София, Захарна фабрика",1975,2-СТАЕН,Тухла,39950
40,1,8,"град София, Дианабад",2019,1-СТАЕН,Тухла,37900
40,10,12,"град София, Гевгелийски",1982,1-СТАЕН,ЕПК,52000
40,7,12,"град София, Витоша",2019,1-СТАЕН,Тухла,45500
40,7,14,"град София, Витоша",2019,1-СТАЕН,Тухла,41990
40,3,13,"град София, Витоша",2019,1-СТАЕН,Тухла,39999
40,3,5,"град София, Бенковски",1989,1-СТАЕН,Тухла,41200
40,5,8,"град София, Център",2018,2-СТАЕН,Тухла,47000
40,3,4,"град София, Западен парк",1960,2-СТАЕН,Тухла,48000
40,3,4,"град София, Западен парк",1960,1-СТАЕН,Тухла,48000
40,6,8,"град София, Дървеница",1984,1-СТАЕН,Панел,47000
40,6,14,"град София, Студентски град",2018,2-СТАЕН,ЕПК,43800
40,3,6,"град София, Дружба 1",1968,1-СТАЕН,Панел,35000
40,2,6,"град София, Дружба 1",1968,1-СТАЕН,Панел,35800
40,7,14,"град София, Дървеница",2018,1-СТАЕН,ЕПК,43798
40,6,14,"град София, Дървеница",2018,1-СТАЕН,ЕПК,43800
40,4,6,"град София, Надежда 3",2007,1-СТАЕН,Тухла,40000
40,4,6,"град София, Надежда 3",2007,1-СТАЕН,Тухла,40000
40,4,7,"град София, Надежда 3",2007,1-СТАЕН,Тухла,40000
40,4,6,"град София, Надежда 2",2019,1-СТАЕН,Тухла,36000
40,7,8,"град София, Младост 3",1989,1-СТАЕН,Панел,44200
40,4,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,36000
40,14,15,"град София, Люлин 1",1980,1-СТАЕН,ЕПК,42000
40,1,6,"град София, Лозенец",2015,1-СТАЕН,Тухла,57000
40,10,13,"град София, Студентски град",2019,1-СТАЕН,Тухла,39499
40,1,6,"град София, Лозенец",2006,1-СТАЕН,Тухла,48000
40,3,6,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,41990
40,2,6,"град София, Зона Б-5",2020,1-СТАЕН,Тухла,45000
40,2,7,"град София, Зона Б-18",2020,1-СТАЕН,Тухла,45000
40,2,6,"град София, Зона Б-18",2018,1-СТАЕН,Тухла,41990
40,2,4,"град София, Захарна фабрика",1970,1-СТАЕН,Тухла,39899
40,7,8,"град София, Захарна фабрика",1975,1-СТАЕН,Тухла,36500
41,7,12,"град София, Витоша",2019,1-СТАЕН,Тухла,45100
41,3,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
41,2,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
41,6,7,"град София, Люлин 2",2020,1-СТАЕН,Тухла,28047
41,1,10,"град София, Люлин 3",2021,1-СТАЕН,Тухла,26419
41,11,14,"град София, Люлин 7",1985,1-СТАЕН,ЕПК,41000
41,1,6,"град София, Малинова долина",2020,1-СТАЕН,Тухла,29990
41,13,17,"град София, Студентски град",2017,1-СТАЕН,Тухла,39991
41,14,14,"град София, Студентски град",2018,1-СТАЕН,Тухла,41500
41,7,12,"град София, Студентски град",2019,1-СТАЕН,Тухла,45100
41,7,12,"град София, Студентски град",2019,1-СТАЕН,Тухла,45500
41,13,13,"град София, Студентски град",2018,1-СТАЕН,Тухла,47000
41,9,14,"град София, Студентски град",2018,1-СТАЕН,Тухла,65000
41,7,8,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
41,7,8,"град София, Хаджи Димитър",2019,1-СТАЕН,Тухла,58000
41,3,9,"град София, Овча купел 1",1989,2-СТАЕН,Панел,52000
41,3,7,"град София, Овча купел 1",1990,2-СТАЕН,Панел,54000
41,4,4,"град София, Орландовци",2019,2-СТАЕН,Тухла,37062
41,1,6,"град София, Студентски град",2019,2-СТАЕН,Тухла,39000
41,9,9,"град София, Студентски град",2016,2-СТАЕН,Тухла,52500
41,4,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
41,5,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
41,6,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
41,7,10,"град София, Люлин 2",2021,1-СТАЕН,Тухла,28045
41,5,9,"град София, Левски Г",1990,2-СТАЕН,Панел,50000
41,1,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,39000
41,7,12,"град София, Витоша",2019,1-СТАЕН,Тухла,45000
41,7,12,"град София, Витоша",2019,1-СТАЕН,Тухла,45100
41,7,12,"град София, Витоша",2019,1-СТАЕН,Тухла,45100
41,7,13,"град София, Витоша",2019,1-СТАЕН,Тухла,49000
41,8,9,"град София, Дървеница",2018,1-СТАЕН,Тухла,48760
