Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160112966635507&slink=60chlc&f1=1,65,675,0,0,"град София, Орландовци",1970,КЪЩА,Тухла,48000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157079115341612&slink=60chlc&f1=1,65,512,0,0,"град София, Орландовци",0,КЪЩА,Тухла,75000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j154261276546593&slink=60chlc&f1=1,65,1425,0,0,"град София, с. Бусманци",0,КЪЩА,Тухла,91799
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160000907381000&slink=60chlc&f1=1,65,770,1,1,"град София, с. Бусманци",1970,КЪЩА,Тухла,96500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158721676088574&slink=60chlc&f1=1,65,6000,1,2,"град София, с. Мърчаево",1940,КЪЩА,Тухла,119000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156052517019106&slink=60chlh&f1=1,66,643,0,0,"град София, Орландовци",0,КЪЩА,Тухла,118000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159991162625350&slink=60chlj&f1=1,67,300,0,0,"град София, Модерно предградие",1970,КЪЩА,Тухла,72000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j149969898931957&slink=60chlj&f1=1,67,246,0,0,"град София, Медицинска академия",0,КЪЩА,Тухла,285000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158953288460731&slink=60chlj&f1=1,67,1424,0,0,"град София, с. Бусманци",0,КЪЩА,Тухла,91500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159703996418827&slink=60chlj&f1=1,67,570,0,0,"град София, с. Лозен",0,КЪЩА,Тухла,85999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157423758743040&slink=60chln&f1=1,69,208,0,0,"град София, Толстой",0,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159888922402935&slink=60chlo&f1=1,70,600,0,0,"град София, гр. Банкя",0,КЪЩА,Тухла,29999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159652978223218&slink=60chlo&f1=1,70,750,0,0,"град София, гр. Банкя",0,КЪЩА,Тухла,55000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155429151158013&slink=60chlo&f1=1,70,720,0,0,"град София, гр. Нови Искър",1982,КЪЩА,Тухла,25000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159731045374775&slink=60chlo&f1=1,70,500,0,0,"град София, Красна поляна 1",0,КЪЩА,Тухла,67000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159338491784386&slink=60chlo&f1=1,70,570,0,0,"град София, с. Бистрица",1970,КЪЩА,Тухла,160000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158840778731250&slink=60chlo&f1=1,70,300,0,0,"град София, с. Волуяк",2018,КЪЩА,Тухла,63000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159860587137140&slink=60chlo&f1=1,70,400,0,0,"град София, с. Долни Богров",1955,КЪЩА,Тухла,65000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157061435903471&slink=60chlo&f1=1,70,700,0,0,"град София, с. Мировяне",1968,КЪЩА,Тухла,53000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157961321910047&slink=60chlo&f1=1,70,782,0,0,"град София, с. Мърчаево",1960,КЪЩА,Тухла,85000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158983405964156&slink=60chlo&f1=1,70,420,0,0,"град София, с. Световрачене",1968,КЪЩА,Тухла,68900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157320466873630&slink=60chlt&f1=1,71,418,0,0,"град София, гр. Нови Искър",2020,КЪЩА,ЕПК,68700
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155921579855355&slink=60chlt&f1=1,71,700,0,0,"град София, с. Герман",1984,КЪЩА,Тухла,27000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159341766369746&slink=60chlu&f1=1,72,862,0,0,"град София, с. Бусманци",1957,КЪЩА,Тухла,105000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160101909472934&slink=60chlu&f1=1,72,550,0,0,"град София, гр. Нови Искър",2019,КЪЩА,Тухла,174000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159774485478444&slink=60chlw&f1=1,74,420,0,0,"град София, Хаджи Димитър",0,КЪЩА,Тухла,165000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j153994867741338&slink=60chlx&f1=1,75,1000,0,0,"град София, с. Кътина",0,КЪЩА,Тухла,105000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156625070350744&slink=60chlx&f1=1,75,600,0,0,"град София, с. Панчарево",1970,КЪЩА,Тухла,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157978826958370&slink=60chlx&f1=1,75,720,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,125000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j149969264034207&slink=60chlx&f1=1,75,560,0,0,"град София, с. Долни Богров",1967,КЪЩА,Тухла,47500
